Contributor General,Location City,Location Country,Location State,Latitude (generated),Longitude (generated)
wellge,whitewater',united states',wisconsin',42.8336,-88.7293
wellge,west superior (superior)',united states',wisconsin',46.7208,-92.1041
wellge,waupun',united states',wisconsin',43.6333,-88.7296
wellge,waukesha',united states',wisconsin',43.0117,-88.2315
wellge,watertown',united states',wisconsin',43.1948,-88.7286
wellge,washburn',united states',wisconsin',46.6733,-90.8949
wellge,waco',united states',texas',31.5493,-97.1467
wellge,van buren',united states',arkansas',35.4368,-94.3483
wellge,valdosta',united states',georgia',30.8327,-83.2785
wellge,tuscaloosa',united states',alabama',33.2096,-87.5675
wellge,tilton',united states',new hampshire',43.4423,-71.589
wellge,thomasville',united states',georgia',30.8366,-83.9788
wellge,texarkana',united states',"texas', 'arkansas'",,
wellge,tallahassee',united states',florida',30.4381,-84.2809
wellge,tacoma',united states',washington (state)',47.2496,-122.4399
wellge,"superior', 'duluth'",united states',wisconsin',,
wellge,superior',united states',wisconsin',46.7208,-92.1041
wellge,sioux city',united states',iowa',42.4967,-96.4059
wellge,sheboygan',united states',wisconsin',43.7508,-87.7145
wellge,selma',united states',alabama',32.4079,-87.0207
wellge,seattle',united states',washington (state)',47.6038,-122.3301
wellge,santa fe.',united states',new mexico',35.687,-105.9378
wellge,salt lake city',united states',utah',40.767,-111.8904
wellge,saint paul',united states',minnesota',44.9504,-93.1015
wellge,rock island',united states',illinois',41.5095,-90.5787
wellge,"rochester', 'gonic', 'east rochester'",united states',new hampshire',,
wellge,redfield',united states',south dakota',44.8758,-98.5187
wellge,quitman',united states',georgia',30.7849,-83.5599
wellge,pensacola',united states',florida',30.4213,-87.2169
wellge,pendleton',united states',oregon',45.6721,-118.7886
wellge,paris',united states',texas',33.6618,-95.5555
wellge,"oconomowoc', 'sheboygan'",united states',wisconsin',43.1117,-88.4993
wellge,norfolk',united states',virginia',36.8465,-76.2916
wellge,norfolk',united states',nebraska',42.0283,-97.417
wellge,niagara falls',"united states', 'canada'","new york (state)', 'ontario'",43.1031,-79.0303
wellge,newfields',united states',new hampshire',43.037,-70.9384
wellge,montgomery',united states',alabama',32.367,-86.3006
wellge,moline',united states',illinois',41.5067,-90.5151
wellge,missoula',united states',montana',46.8701,-113.9953
wellge,merrill',united states',wisconsin',45.1805,-89.6835
wellge,menomonee falls',united states',wisconsin',43.1789,-88.1167
wellge,memphis',united states',tennessee',35.149,-90.0516
wellge,medford',united states',wisconsin',45.1389,-90.3461
wellge,madison',united states',wisconsin',43.0748,-89.3838
wellge,macon',united states',georgia',32.8407,-83.6324
wellge,little rock',united states',arkansas',34.7465,-92.2896
wellge,lincoln',united states',nebraska',40.8001,-96.6674
wellge,leadville',united states',colorado',39.2508,-106.2925
wellge,lake geneva',united states',wisconsin',42.5917,-88.4334
wellge,lake city',united states',florida',30.1897,-82.6393
wellge,la crosse',united states',wisconsin',43.8014,-91.2396
wellge,knoxville',united states',tennessee',35.9604,-83.921
wellge,key west',united states',florida',24.5626,-81.7724
wellge,kearney',united states',nebraska',40.6995,-99.0819
wellge,kalamazoo',united states',michigan',42.2917,-85.5872
wellge,ironwood',united states',michigan',46.4556,-90.1684
wellge,hurley',united states',wisconsin',46.4497,-90.1866
wellge,hot springs',united states',arkansas',34.5038,-93.0552
wellge,honey grove',united states',texas',33.5834,-95.91
wellge,hillsboro',united states',new hampshire',,
wellge,greenville',united states',texas',33.1384,-96.1108
wellge,green cove springs',united states',florida',29.9919,-81.6781
wellge,gadsden',united states',alabama',34.0144,-86.0067
wellge,"franklin', 'franklin falls'",united states',new hampshire',43.4442,-71.6473
wellge,fort worth',united states',texas',32.7532,-97.3327
wellge,fort madison',united states',iowa',40.6298,-91.3152
wellge,exeter',united states',new hampshire',42.9815,-70.9478
wellge,evansville',united states',indiana',37.9748,-87.5558
wellge,duluth',united states',minnesota',46.7729,-92.1251
wellge,dubuque',united states',iowa',42.5006,-90.6648
wellge,denver',united states',colorado',39.7348,-104.9653
wellge,denison',united states',texas',33.7557,-96.5367
wellge,de land',united states',florida',29.0283,-81.3031
wellge,dayton',united states',washington (state)',46.3236,-117.9725
wellge,davenport',united states',iowa',41.5236,-90.5776
wellge,dalles',united states',oregon',45.5946,-121.1787
wellge,columbus',united states',georgia',32.461,-84.9877
wellge,colorado springs',united states',colorado',38.834,-104.8253
wellge,chippewa falls',united states',wisconsin',44.9369,-91.3929
wellge,cheney',united states',washington (state)',47.4874,-117.5758
wellge,chattanooga',united states',tennessee',35.0456,-85.3097
wellge,canon city',united states',colorado',38.441,-105.2424
wellge,"calumet', 'hecla', 'red jacket'",united states',michigan',47.2466,-88.454
wellge,cairo',united states',illinois',37.0058,-89.1772
wellge,butte',united states',montana',45.9838,-112.5007
wellge,burlington',united states',iowa',40.8075,-91.1129
wellge,birmingham',united states',alabama',33.5207,-86.8024
wellge,billings',united states',montana',45.7875,-108.4961
wellge,bessemer',united states',michigan',46.4813,-90.053
wellge,"bellaire', 'benwood'",united states',"ohio', 'west virginia'",,
wellge,bedford',united states',virginia',37.3345,-79.5235
wellge,bayfield',united states',wisconsin',46.8108,-90.8182
wellge,ashland',united states',wisconsin',46.5928,-90.8839
wellge,antigo',united states',wisconsin',45.1402,-89.1523
wellge,anniston',united states',alabama',33.6594,-85.8316
wellge,albany',united states',georgia',31.5782,-84.1557
wellge,aberdeen',united states',south dakota',45.465,-98.4878
ruger,ypsilanti',united states',michigan',42.2411,-83.613
ruger,youngstown',united states',ohio',41.0998,-80.6495
ruger,young america',united states',illinois',,
ruger,wiscasset',united states',maine',44.0029,-69.6656
ruger,winston-salem',united states',north carolina',36.0999,-80.2442
ruger,winona',united states',minnesota',44.05,-91.6393
ruger,wheeling',united states',west virginia',40.064,-80.7209
ruger,watertown',united states',wisconsin',43.1948,-88.7286
ruger,washington',united states',missouri',38.5581,-91.0121
ruger,warrensburg',united states',missouri',38.7628,-93.736
ruger,warren',united states',ohio',41.2376,-80.8184
ruger,urbana',united states',illinois',40.1117,-88.2073
ruger,topeka',united states',kansas',39.049,-95.6776
ruger,toledo',united states',ohio',41.6787,-83.5127
ruger,titusville',united states',pennsylvania',41.6245,-79.6697
ruger,tecumseh',united states',michigan',42.0039,-83.9449
ruger,stillwater',united states',minnesota',45.0564,-92.8135
ruger,springfield',united states',illinois',39.799,-89.6444
ruger,south berwick',united states',maine',43.2345,-70.8095
ruger,south bend',united states',indiana',41.6834,-86.25
ruger,shelbyville',united states',illinois',39.4064,-88.7901
ruger,shakopee',united states',minnesota',44.798,-93.5269
ruger,sedalia',united states',missouri',38.7045,-93.2283
ruger,sauk city',united states',wisconsin',43.2716,-89.7227
ruger,sandwich',united states',illinois',41.6459,-88.6217
ruger,sandusky',united states',ohio',41.4489,-82.708
ruger,saint peter',united states',minnesota',44.3238,-93.9585
ruger,saint paul',united states',minnesota',44.9504,-93.1015
ruger,saint joseph',united states',missouri',39.7686,-94.8466
ruger,saint johns',united states',michigan',43.0009,-84.5585
ruger,saint cloud',united states',minnesota',45.5616,-94.1642
ruger,saint clair',united states',michigan',42.8209,-82.486
ruger,saint charles',united states',missouri',38.79,-90.5
ruger,saginaw',united states',michigan',43.42,-83.949
ruger,romeo',united states',michigan',42.8028,-83.013
ruger,rollinsford',united states',new hampshire',43.2362,-70.8203
ruger,rock island',united states',illinois',41.5095,-90.5787
ruger,rochester',united states',minnesota',44.0233,-92.463
ruger,ripon',united states',wisconsin',43.8425,-88.8373
ruger,richmond',united states',maine',44.0873,-69.7989
ruger,reedsburg',united states',wisconsin',43.5325,-90.0026
ruger,red wing',united states',minnesota',44.5625,-92.5338
ruger,ravenna',united states',ohio',41.1576,-81.242
ruger,princeton',united states',illinois',41.3681,-89.4648
ruger,prairie du sac',united states',wisconsin',43.2869,-89.724
ruger,prairie du chien',united states',wisconsin',43.0518,-91.1413
ruger,portsmouth',united states',new hampshire',43.0718,-70.7626
ruger,portage',united states',wisconsin',43.5395,-89.4613
ruger,"port huron', 'fort gratiot (port huron)', 'point edward', 'sarnia'","united states', 'canada'","michigan', 'ontario'",42.9816,-82.4405
ruger,pontiac',united states',michigan',42.6389,-83.291
ruger,pontiac',united states',illinois',40.8809,-88.6298
ruger,pleasant hill',united states',missouri',38.7875,-94.2694
ruger,plattsburgh',united states',new york (state)',44.6928,-73.4556
ruger,peru',united states',indiana',40.7537,-86.0689
ruger,peoria',united states',illinois',40.6939,-89.5891
ruger,paxton',united states',illinois',40.4603,-88.0953
ruger,paris',united states',kentucky',38.2098,-84.253
ruger,palmyra',united states',missouri',39.7942,-91.5232
ruger,pacific',united states',missouri',38.482,-90.7415
ruger,owatonna',united states',minnesota',44.084,-93.2261
ruger,oshkosh',united states',wisconsin',44.0207,-88.5409
ruger,omaha',united states',nebraska',41.2587,-95.9379
ruger,norwalk',united states',ohio',41.2426,-82.6157
ruger,northfield',united states',minnesota',44.4582,-93.1612
ruger,north berwick',united states',maine',43.3037,-70.7334
ruger,niles',united states',ohio',41.1828,-80.7654
ruger,niles',united states',michigan',41.8298,-86.2542
ruger,newton',united states',iowa',41.6997,-93.048
ruger,newport',united states',new hampshire',43.3654,-72.1734
ruger,new ulm',united states',minnesota',44.3125,-94.4605
ruger,"new castle', 'damariscotta'",united states',maine',44.0329,-69.5187
ruger,nebraska city',united states',nebraska',40.6765,-95.8587
ruger,naperville',united states',illinois',41.7729,-88.1479
ruger,muskegon',united states',michigan',43.2342,-86.2484
ruger,mount vernon',united states',ohio',40.3934,-82.4857
ruger,mount sterling',united states',illinois',39.9873,-90.7635
ruger,montana',united states',iowa',,
ruger,monroe',united states',michigan',41.9145,-83.3968
ruger,monmouth',united states',illinois',40.9114,-90.6474
ruger,moline',united states',illinois',41.5067,-90.5151
ruger,"minneapolis', 'saint anthony (hennepin county)'",united states',minnesota',44.9773,-93.2655
ruger,minneapolis',united states',minnesota',44.9773,-93.2655
ruger,michigan city',united states',indiana',41.7075,-86.895
ruger,mexico',united states',missouri',39.1698,-91.8829
ruger,memphis',united states',tennessee',35.149,-90.0516
ruger,"mcgregor', 'marquette'",united states',iowa',43.0444,-91.1781
ruger,massillon',united states',ohio',40.7967,-81.5215
ruger,marshalltown',united states',iowa',42.0448,-92.9104
ruger,marshall',united states',michigan',42.2721,-84.9642
ruger,marion',united states',iowa',42.0342,-91.5977
ruger,marengo',united states',iowa',41.8001,-92.0694
ruger,manteno',united states',illinois',41.2507,-87.8314
ruger,mankato',united states',minnesota',44.1635,-93.9994
ruger,madison',united states',wisconsin',43.0748,-89.3838
ruger,macon',united states',missouri',39.7423,-92.4727
ruger,lyons',united states',iowa',,
ruger,louisville',united states',kentucky',38.2542,-85.7594
ruger,loda',united states',illinois',40.5175,-88.072
ruger,little rock',united states',arkansas',34.7465,-92.2896
ruger,lincoln',united states',illinois',40.1484,-89.3648
ruger,lexington',united states',missouri',39.1852,-93.8829
ruger,lexington',united states',kentucky',38.0464,-84.497
ruger,leavenworth',united states',kansas',39.3111,-94.9228
ruger,lawrence',united states',kansas',38.9719,-95.2359
ruger,lansing',united states',michigan',42.7338,-84.5554
ruger,lake city',united states',minnesota',44.4494,-92.2668
ruger,lafayette',united states',indiana',40.4167,-86.8753
ruger,la crosse',united states',wisconsin',43.8014,-91.2396
ruger,kokomo',united states',indiana',40.4864,-86.1336
ruger,knoxville',united states',tennessee',35.9604,-83.921
ruger,kent',united states',ohio',41.1537,-81.3579
ruger,kansas city',united states',missouri',39.0845,-94.563
ruger,kansas city',united states',kansas',39.1147,-94.7495
ruger,kankakee',united states',illinois',41.12,-87.8612
ruger,kalamazoo',united states',michigan',42.2917,-85.5872
ruger,jefferson',united states',wisconsin',43.0056,-88.8073
ruger,jefferson city',united states',missouri',38.5774,-92.1724
ruger,jackson',united states',tennessee',35.6145,-88.8139
ruger,jackson',united states',michigan',42.2465,-84.4017
ruger,iowa city',united states',iowa',41.6613,-91.5299
ruger,ionia',united states',michigan',42.9873,-85.0711
ruger,independence',united states',missouri',39.0911,-94.4155
ruger,huntsville',united states',alabama',34.7298,-86.5859
ruger,hudson',united states',wisconsin',44.9747,-92.7569
ruger,hudson',united states',michigan',41.855,-84.3538
ruger,homer',united states',illinois',40.0348,-87.9581
ruger,holden',united states',missouri',38.7142,-93.9913
ruger,hillsdale',united states',michigan',41.92,-84.6305
ruger,hermann',united states',missouri',38.7042,-91.4374
ruger,hastings',united states',minnesota',44.7427,-92.8519
ruger,hannibal',united states',missouri',39.7086,-91.3587
ruger,hallowell',united states',maine',44.2859,-69.7909
ruger,halifax',canada',nova scotia',44.6484,-63.575
ruger,guttenberg',united states',iowa',42.7858,-91.0996
ruger,greensboro',united states',north carolina',36.0726,-79.792
ruger,"green bay', 'fort howard'",united states',wisconsin',44.5299,-88.0248
ruger,"great falls', 'berwick'",united states',"new hampshire', 'maine'",43.2659,-70.8645
ruger,grand rapids',united states',michigan',42.9632,-85.6679
ruger,grand haven',united states',michigan',43.0631,-86.2284
ruger,geneva',united states',illinois',41.8875,-88.3054
ruger,garrettsville',united states',ohio',41.2842,-81.0965
ruger,frankfort',united states',kentucky',38.2009,-84.8733
ruger,fort wayne',united states',indiana',41.08,-85.1386
ruger,fort atkinson',united states',wisconsin',42.9289,-88.8371
ruger,fond du lac',united states',wisconsin',43.7749,-88.4458
ruger,faribault',united states',minnesota',44.295,-93.2688
ruger,erie',united states',pennsylvania',42.1291,-80.0852
ruger,elyria',united states',ohio',41.3684,-82.1076
ruger,el paso',united states',illinois',40.7392,-89.0165
ruger,east saginaw',united states',michigan',43.42,-83.949
ruger,"durham', 'east durham'",united states',north carolina',35.994,-78.8986
ruger,dover',united states',new hampshire',43.1981,-70.8739
ruger,des moines',united states',iowa',41.5911,-93.6037
ruger,delphi',united states',indiana',40.5875,-86.675
ruger,decorah',united states',iowa',43.3033,-91.7857
ruger,decatur',united states',illinois',39.8454,-88.9524
ruger,de witt',united states',iowa',41.8234,-90.5382
ruger,dayton',united states',ohio',39.7589,-84.1916
ruger,danville',united states',illinois',40.1252,-87.6305
ruger,council bluffs',united states',iowa',41.2621,-95.8614
ruger,corry',united states',pennsylvania',41.9203,-79.6403
ruger,columbus',united states',wisconsin',43.3393,-89.0148
ruger,columbia',united states',missouri',38.9519,-92.3337
ruger,coldwater',united states',michigan',41.9403,-85.0005
ruger,clinton',united states',illinois',40.1536,-88.9645
ruger,cleveland',united states',ohio',41.5052,-81.6934
ruger,clarksville',united states',tennessee',36.5286,-87.3099
ruger,claremont',united states',new hampshire',43.3767,-72.3468
ruger,circleville',united states',ohio',39.6006,-82.946
ruger,chillicothe',united states',missouri',39.7953,-93.5524
ruger,chicago',united states',illinois',41.8756,-87.6244
ruger,chenoa',united states',illinois',40.7417,-88.7198
ruger,chattanooga',united states',tennessee',35.0456,-85.3097
ruger,champaign',united states',illinois',40.1164,-88.2434
ruger,centralia',united states',illinois',38.525,-89.1334
ruger,"cedar rapids', 'kingston'",united states',iowa',41.9759,-91.6704
ruger,camp chase',united states',ohio',,
ruger,california',united states',missouri',38.6275,-92.5665
ruger,cairo',united states',illinois',37.0058,-89.1772
ruger,brookfield',united states',missouri',39.7845,-93.0735
ruger,bowling green',united states',kentucky',36.9903,-86.4436
ruger,boscobel',united states',wisconsin',43.1344,-90.7054
ruger,bloomington',united states',illinois',40.4731,-88.9941
ruger,blairstown',united states',iowa',41.9071,-92.0833
ruger,berlin',united states',wisconsin',43.968,-88.9434
ruger,belleville',united states',illinois',38.5201,-89.984
ruger,beaver dam',united states',wisconsin',43.4578,-88.8373
ruger,bay city',united states',michigan',43.5945,-83.8889
ruger,battle creek',united states',michigan',42.3193,-85.1824
ruger,batavia',united states',illinois',41.85,-88.3126
ruger,austin',united states',minnesota',43.6681,-92.9745
ruger,aurora',united states',illinois',41.7606,-88.3201
ruger,augusta',united states',maine',44.3105,-69.7793
ruger,attica',united states',indiana',40.2942,-87.2489
ruger,atlanta',united states',georgia',33.7491,-84.3902
ruger,atchison',united states',kansas',39.5634,-95.1213
ruger,asheville',united states',north carolina',35.6009,-82.554
ruger,appleton',united states',wisconsin',44.2611,-88.4068
ruger,anoka',united states',minnesota',45.1977,-93.3872
ruger,ann arbor',united states',michigan',42.2682,-83.7312
ruger,alton',united states',illinois',38.8906,-90.1843
ruger,albion (calhoun county)',united states',michigan',42.2431,-84.753
ruger,akron',united states',ohio',41.0831,-81.5185
ruger,adrian',united states',michigan',41.8975,-84.0372
other,yreka',united states',california',41.7326,-122.6378
other,york',united states',pennsylvania',39.9624,-76.7274
other,yonkers',united states',new york (state)',40.9312,-73.8987
other,yakima',united states',washington (state)',46.6016,-120.5108
other,wyoming',united states',pennsylvania',41.3117,-75.8374
other,winthrop',united states',massachusetts',42.3751,-70.9828
other,winona',united states',minnesota',44.05,-91.6393
other,winona county',united states',minnesota',44.05,-91.6393
other,winnipeg',canada',manitoba',49.8833,-97.1667
other,winchester',united states',virginia',39.1858,-78.1631
other,winchester',united states',massachusetts',42.4523,-71.137
other,wilton',united states',maine',44.5928,-70.2281
other,willimantic',united states',connecticut',41.7125,-72.2116
other,whitefield',united states',new hampshire',44.3731,-71.6101
other,westwood',united states',new jersey',40.9912,-74.0326
other,westfield',united states',new jersey',40.659,-74.3474
other,waynesboro',united states',virginia',38.0677,-78.8902
other,waverly',united states',new york (state)',42.0104,-76.5272
other,"wauwatosa', 'milwaukee suburban area'",united states',wisconsin',43.0494,-88.0079
other,waukesha',united states',wisconsin',43.0117,-88.2315
other,watertown',united states',south dakota',44.8992,-97.1153
other,waterbury',united states',connecticut',41.5582,-73.0515
other,washington',united states',district of columbia',38.895,-77.0366
other,warner',united states',new hampshire',43.2806,-71.8167
other,wareham',united states',massachusetts',41.7626,-70.7217
other,walla walla',united states',washington (state)',46.065,-118.3303
other,waco',united states',texas',31.5493,-97.1467
other,"virginia city', 'pittston'",united states',"nevada', 'pennsylvania'",39.3096,-119.6496
other,virginia city',united states',nevada',39.3096,-119.6496
other,victoria',canada',british columbia',48.4283,-123.3649
other,valley stream',united states',new york (state)',40.6643,-73.7085
other,valley forge',united states',pennsylvania',40.0969,-75.47
other,uxbridge',united states',massachusetts',42.0773,-71.6295
other,utica',united states',new york (state)',43.1009,-75.2327
other,university of virginia',united states',virginia',38.0293,-78.4767
other,truro',canada',nova scotia',45.3667,-63.3
other,troy',united states',new york (state)',42.7284,-73.6918
other,trinidad',united states',colorado',37.1694,-104.5005
other,towanda',united states',pennsylvania',41.7674,-76.4429
other,toronto',united states',ohio',40.4642,-80.6009
other,terryville',united states',connecticut',41.6782,-73.0109
other,terre haute',united states',indiana',39.4667,-87.4139
other,"tennessee centennial and international exposition, 1897 (nashville)'",united states',tennessee',35.9604,-83.921
other,tell city',united states',indiana',37.9514,-86.7678
other,tallahassee',united states',florida',30.4381,-84.2809
other,tacoma',united states',washington (state)',47.2496,-122.4399
other,syracuse',united states',new york (state)',43.0481,-76.1474
other,superior',united states',wisconsin',46.7208,-92.1041
other,stockton',united states',california',37.9577,-121.2908
other,staunton',united states',virginia',38.1493,-79.0716
other,statesville',united states',north carolina',35.7826,-80.8873
other,st. thomas',canada',ontario',42.78,-81.18
other,spokane',united states',washington (state)',47.6589,-117.4247
other,south weymouth',united states',massachusetts',42.1751,-70.9495
other,south bend',united states',indiana',41.6834,-86.25
other,somers point',united states',new jersey',39.3176,-74.5946
other,snohomish',united states',washington (state)',47.918,-122.09
other,sioux falls',united states',south dakota',43.55,-96.7003
other,sherbrooke',canada',québec',45.403,-71.8877
other,shasta',united states',california',40.5993,-122.492
other,seattle',united states',washington (state)',47.6038,-122.3301
other,schaghticoke',united states',new york (state)',42.9001,-73.5854
other,savannah',united states',georgia',32.0835,-81.0998
other,saratoga springs',united states',new york (state)',43.0822,-73.7854
other,santa rosa',united states',california',38.4405,-122.7144
other,santa barbara',united states',california',34.4098,-119.697
other,sandwich',united states',massachusetts',41.7579,-70.4968
other,sandusky',united states',ohio',41.4489,-82.708
other,san pedro',united states',california',33.7359,-118.2923
other,san mateo',united states',california',37.5446,-122.3091
other,san jose',united states',california',37.2751,-121.8261
other,san jacinto',united states',california',33.7839,-116.9586
other,san gabriel',united states',california',34.0991,-118.1086
other,san francisco',united states',california',37.7648,-122.463
other,san diego',united states',california',32.7174,-117.1628
other,salt lake city',united states',utah',40.767,-111.8904
other,salida',united states',colorado',38.5347,-105.9989
other,salem',united states',oregon',44.9392,-123.0331
other,saint paul',united states',minnesota',44.9504,-93.1015
other,saint louis',united states',missouri',38.63,-90.19
other,saint johnsbury',united states',vermont',44.4192,-72.0151
other,saint augustine',united states',florida',29.8961,-81.4165
other,sacramento',united states',california',38.4732,-121.2981
other,rutherford',united states',new jersey',40.8265,-74.1068
other,rockland',united states',massachusetts',42.1307,-70.9162
other,rockford',united states',illinois',42.2714,-89.094
other,rock island',united states',illinois',41.5095,-90.5787
other,"rochester', 'east rochester'",united states',new york',43.1573,-77.6152
other,rochester',united states',new york (state)',43.1573,-77.6152
other,rochester',united states',new hampshire',43.3051,-70.9754
other,roanoke',united states',virginia',37.271,-79.9414
other,riverhead',united states',new york (state)',40.917,-72.662
other,riverhead (town)',united states',new york (state)',40.917,-72.662
other,river falls',united states',wisconsin',44.8595,-92.6266
other,richmond',united states',virginia',37.5385,-77.4343
other,reno',united states',nevada',39.5293,-119.8137
other,red wing',united states',minnesota',44.5625,-92.5338
other,reading',united states',pennsylvania',40.3353,-75.9279
other,raleigh',united states',north carolina',35.7804,-78.6391
other,racine',united states',wisconsin',42.7261,-87.7825
other,quincy',united states',massachusetts',42.2529,-71.0023
other,queens (new york)',united states',new york (state)',40.7227,-73.8479
other,québec',canada',québec',46.8257,-71.2349
other,pueblo',united states',colorado',38.2544,-104.6091
other,provincetown',united states',massachusetts',42.0584,-70.1786
other,providence',united states',rhode island',41.824,-71.4128
other,providence (scranton)',united states',pennsylvania',39.9,-76.24
other,presque isle',united states',maine',46.6812,-68.0159
other,pottsville',united states',pennsylvania',40.6851,-76.1954
other,portland',united states',oregon',45.5202,-122.6742
other,portland',united states',maine',43.661,-70.2549
other,port townsend',united states',washington (state)',48.1185,-122.768
other,port huron',united states',michigan',42.9816,-82.4405
other,port arthur',united states',texas',29.8988,-93.9288
other,pomona',united states',california',34.0554,-117.7517
other,"plainfield', 'north plainfield'",united states',new jersey',40.6301,-74.4274
other,placerville',united states',california',38.7296,-120.7985
other,pittsfield',united states',new hampshire',43.3059,-71.3242
other,pittsfield',united states',massachusetts',42.4501,-73.2454
other,pittsburgh',united states',pennsylvania',40.4417,-79.9901
other,pigeon cove',united states',massachusetts',42.6557,-70.6203
other,phoenix',united states',arizona',33.4486,-112.0773
other,philmont',united states',new york (state)',42.2484,-73.6532
other,philippi',united states',west virginia',39.1523,-80.0404
other,philadephia',united states',pennsylvania',40.0115,-75.1327
other,"philadelphia', 'philadelphia metropolitan area'",united states',pennsylvania',40.0115,-75.1327
other,philadelphia',united states',pennsylvania',40.0115,-75.1327
other,philadelphia',united states',,,
other,pendleton',united states',oregon',45.6721,-118.7886
other,pella',united states',iowa',41.4081,-92.9163
other,peaks island (portland)',united states',maine',43.657,-70.1962
other,pawling',united states',new york (state)',41.562,-73.6026
other,paterson',united states',new jersey',40.9168,-74.1718
other,pasadena',united states',california',34.1476,-118.1445
other,parkersburg',united states',west virginia',39.2667,-81.5615
other,paducah',united states',kentucky',37.0834,-88.6
other,ottawa',canada',ontario',45.421,-75.69
other,ottawa',united states',kansas',38.6154,-95.2678
other,oswego',united states',new york (state)',43.4547,-76.5096
other,oshkosh',united states',wisconsin',44.0207,-88.5409
other,oregon city',united states',oregon',45.3573,-122.6068
other,omaha',united states',nebraska',41.2587,-95.9379
other,"olympia', 'east olympia', 'tumwater'",united states',washington (state)',47.045,-122.8949
other,olympia',united states',washington (state)',47.045,-122.8949
other,"olean', 'boardmanville'",united states',new york (state)',42.0776,-78.4297
other,ogden',united states',utah',41.223,-111.9738
other,"oconomowoc', 'waukesha'",united states',wisconsin',43.0117,-88.2315
other,ocean city',united states',new jersey',39.2776,-74.5746
other,oakland',united states',california',37.8045,-122.2714
